No,Fitur,Importance Score,Keterangan
1,facility,0.1876,Fitur dengan kontribusi terbesar dalam model
2,cleanliness,0.1574,Fitur rating hotel
3,platform_Agoda,0.1521,Fitur asal platform OTA
4,service,0.1226,Fitur rating hotel
5,location,0.09,Fitur rating hotel
6,platform_Tiket.com,0.0583,Fitur asal platform OTA
7,platform_Traveloka,0.0497,Fitur asal platform OTA
8,platform_Trip.com,0.0461,Fitur asal platform OTA
9,is_facility_available,0.0409,Fitur indikator ketersediaan data
10,platform_Booking.com,0.0369,Fitur asal platform OTA
11,value_for_money,0.0364,Fitur rating hotel
12,is_value_for_money_available,0.022,Fitur indikator ketersediaan data
